nro,manner,tilastointialueet:hila5km_linkki_kun2024
2431.000000000000000,0,"043"
2566.000000000000000,0,"043"
2701.000000000000000,0,"043"
2836.000000000000000,0,"043"
2162.000000000000000,0,"043"
2297.000000000000000,0,"043"
2432.000000000000000,0,"043"
2567.000000000000000,0,"043"
2702.000000000000000,0,"043"
2837.000000000000000,0,"043"
2972.000000000000000,0,"043"
3107.000000000000000,0,"043"
3242.000000000000000,0,"043"
3377.000000000000000,0,"043"
2028.000000000000000,0,"076"
2163.000000000000000,0,"043"
2298.000000000000000,0,"043"
2433.000000000000000,0,"043"
2568.000000000000000,0,"043"
2703.000000000000000,0,"043"
2838.000000000000000,0,"043"
2973.000000000000000,0,"043"
3108.000000000000000,0,"043"
3243.000000000000000,0,"043"
3378.000000000000000,0,"043"
3513.000000000000000,0,"043"
3648.000000000000000,0,"043"
3783.000000000000000,0,"043"
1759.000000000000000,0,"170"
1894.000000000000000,0,"076"
2029.000000000000000,0,"076"
2164.000000000000000,0,"043"
2299.000000000000000,0,"043"
2434.000000000000000,0,"043"
2569.000000000000000,0,"043"
2704.000000000000000,0,"043"
2839.000000000000000,0,"043"
2974.000000000000000,0,"043"
3109.000000000000000,0,"043"
3244.000000000000000,0,"043"
3379.000000000000000,0,"043"
3514.000000000000000,0,"043"
3649.000000000000000,0,"076"
3784.000000000000000,0,"076"
3919.000000000000000,0,"076"
1490.000000000000000,0,"170"
1625.000000000000000,0,"170"
1760.000000000000000,0,"170"
1895.000000000000000,0,"170"
2030.000000000000000,0,"076"
2165.000000000000000,0,"076"
2300.000000000000000,0,"043"
2435.000000000000000,0,"043"
2570.000000000000000,0,"043"
2705.000000000000000,0,"043"
2840.000000000000000,0,"043"
2975.000000000000000,0,"043"
3110.000000000000000,0,"043"
3245.000000000000000,0,"043"
3380.000000000000000,0,"076"
3515.000000000000000,0,"076"
3650.000000000000000,0,"076"
3785.000000000000000,0,"076"
3920.000000000000000,0,"076"
1221.000000000000000,0,"417"
1356.000000000000000,0,"170"
1491.000000000000000,0,"170"
1626.000000000000000,0,"170"
1761.000000000000000,0,"170"
1896.000000000000000,0,"170"
2031.000000000000000,0,"170"
2166.000000000000000,0,"076"
2301.000000000000000,0,"043"
2436.000000000000000,0,"043"
